gene,lineage,Mye_C1QC_corr,Mye_C1QC_qval,Mye_FABP4_corr,Mye_FABP4_qval,Mye_InflamMono_1_corr,Mye_InflamMono_1_qval,Mye_InflamMono_2_corr,Mye_InflamMono_2_qval,Mye_NonClassicalMono_corr,Mye_NonClassicalMono_qval,Mye_TissueResMac_1_corr,Mye_TissueResMac_1_qval,Mye_TissueResMac_2_corr,Mye_TissueResMac_2_qval,Mye_TissueResMac_3_corr,Mye_TissueResMac_3_qval
GPR183,Mye_C1QC,0.5168665847366466,0.0,,,,,,,,,,,,,,
A2M,Mye_C1QC,0.4508753649796007,0.0,,,,,,,,,,,,,,
IER3,Mye_C1QC,0.4453610583094042,0.0,,,,,,,,,,,,,,
RNASE1,Mye_C1QC,0.4448679060145816,0.0,,,,,,,,,,,,,,
LGMN,Mye_C1QC,0.4117146031306875,0.0,,,,,,,,,,,,,,
NR4A2,Mye_C1QC,0.4054828264336164,0.0,,,,,,,,,,,,,,
RGS1,Mye_C1QC,0.4009200422253006,0.0,,,,,,,,,,,,,,
ZNF331,Mye_C1QC,0.3987365702251306,0.0,,,,,,,,,,,,,,
SGK1,Mye_C1QC,0.3925914860611941,0.0,,,,,,,,,,,,,,
ATF3,Mye_C1QC,0.3869625680248794,0.0,,,,,,,,,,,,,,
STAB1,Mye_C1QC,0.3844144472239121,0.0,,,,,,,,,,,,,,
FOSB,Mye_C1QC,0.3781637131891927,0.0,,,,,,,,,,,,,,
NRP2,Mye_C1QC,0.3670641012523185,0.0,,,,,,,,,,,,,,
CCL3,Mye_C1QC,0.3564038150782099,0.0,,,,,,,,,,,,,,
NR4A3,Mye_C1QC,0.3558609166731443,0.0,,,,,,,,,,,,,,
ARL4C,Mye_C1QC,0.3512657318324596,0.0,,,,,,,,,,,,,,
CREM,Mye_C1QC,0.3474405665323743,0.0,,,,,,,,,,,,,,
FCGR2A,Mye_C1QC,0.3469237539442957,0.0,,,,,,,,,,,,,,
CD83,Mye_C1QC,0.3464067509545678,0.0,,,,,,,,,,,,,,
SDS,Mye_C1QC,0.3403568395094518,0.0,,,,,,,,,,,,,,
PLTP,Mye_C1QC,0.3389821217936088,0.0,,,,,,,,,,,,,,
PLAU,Mye_C1QC,0.3350082189159526,0.0,,,,,,,,,,,,,,
ICAM1,Mye_C1QC,0.3334409951693552,0.0,,,,,,,,,,,,,,
TNFAIP3,Mye_C1QC,0.3331086058885902,0.0,,,,,,,,,,,,,,
CCL4,Mye_C1QC,0.331621255156552,0.0,,,,,,,,,,,,,,
LITAF,Mye_C1QC,0.3290905759917502,0.0,,,,,,,,,,,,,,
CCL4L2,Mye_C1QC,0.3264103763145564,0.0,,,,,,,,,,,,,,
