paul15_clusters,11DC,19Lymph,7MEP,15Mo,3Ery
1Ery,0.0002,0.0006,0.0061,0.0004,0.9927
2Ery,0.0005,0.002,0.018,0.001,0.9786
3Ery,0.0006,0.0025,0.0225,0.0015,0.9729
4Ery,0.0009,0.0032,0.0291,0.0017,0.9652
5Ery,0.0021,0.0084,0.0819,0.0055,0.9022
6Ery,0.0073,0.0322,0.3297,0.018,0.6128
7MEP,0.0115,0.059,0.7353,0.026,0.1682
8Mk,0.0326,0.065,0.5388,0.1271,0.2364
9GMP,0.064,0.0889,0.4544,0.2525,0.1403
10GMP,0.0841,0.0854,0.4003,0.3121,0.1181
11DC,0.973,0.007,0.0169,0.0005,0.0026
12Baso,0.0359,0.0887,0.5721,0.1659,0.1374
13Baso,0.1367,0.0471,0.1826,0.5802,0.0535
14Mo,0.1219,0.0397,0.1585,0.635,0.0449
15Mo,0.0625,0.0223,0.0903,0.7998,0.0251
16Neu,0.0543,0.0228,0.0929,0.8052,0.0247
17Neu,0.0339,0.1123,0.5956,0.1498,0.1083
18Eos,0.0501,0.1349,0.4722,0.252,0.0908
19Lymph,0.0002,0.9838,0.0137,0.0005,0.0018
