,umap_1,umap_2,paul15_clusters,11DC,19Lymph,7MEP,15Mo,3Ery
W31105,-0.042982515,4.9391413,7MEP,0.009776489751071333,0.05536991524835485,0.7989839606168524,0.017124500197098415,0.11874456763496652
W31106,-7.29048,7.8913746,15Mo,0.1320671938684974,0.028184287943409138,0.11055708123320775,0.6954726097787486,0.03371887865322986
W31107,8.920913,3.6123116,3Ery,4.459752375551296e-05,0.00017655348434786837,0.0016647016479510203,0.00011605338259557251,0.9979979191864413
W31108,-8.715149,9.499612,15Mo,0.036342562371540675,0.007765547012787667,0.03232397789752285,0.9121779700651373,0.011390112057696224
W31109,8.98244,4.066399,3Ery,6.083552860608216e-05,0.00024196704600704225,0.0022808743206026026,0.00015712927015812484,0.9972589492496641
W31110,-6.5154243,8.743474,15Mo,0.08225084545016847,0.03973064241430686,0.17867708158109277,0.6441903482345732,0.05515101971238692
W31111,5.072736,3.8488007,4Ery,0.0011353427875681595,0.0036687537949790985,0.0354437267069836,0.003817337999472452,0.9559343730469655
W31113,1.378745,4.4413023,2Ery,0.012281525644762866,0.06788095271294081,0.5456123328440408,0.02145746435955708,0.3527668310818397
W31114,4.614032,3.4123058,3Ery,0.002231205498415686,0.006351806456244618,0.06169653682331487,0.008365787715547218,0.9213543121288794
W31115,7.754226,6.3932805,2Ery,0.00018293620587182572,0.0007358956453869555,0.006930410089033567,0.0004643146641875957,0.9916857631168249
W31116,6.664053,5.812242,2Ery,0.00023279364530404378,0.0009282600869686089,0.008773765446247262,0.0006022072538246663,0.989462339647955
W31117,-2.5683348,7.315169,17Neu,0.04473669515025016,0.09181464109055477,0.5222715503000086,0.21093731512632172,0.13023982105185808
W31118,-7.834097,8.6683445,14Mo,0.116964447517406,0.02777130404138477,0.11180812046849103,0.7081213691061468,0.03533481335089818
W31119,-4.3723564,7.1258645,13Baso,0.10233743646828271,0.06707743491657475,0.2734803775089169,0.4771224176717565,0.07998171284509295
W31120,7.506144,5.1862526,3Ery,0.0001490973225841647,0.000592286908791516,0.0055927558889925745,0.00038717742053500536,0.9932781650914211
W31121,-0.006649152,4.0180225,7MEP,0.020466272317037723,0.0974961378884493,0.7049290312807541,0.02139955329683617,0.1557082680700437
W31122,7.2904825,3.1258366,3Ery,8.220759178167533e-05,0.00030143566901222807,0.0028576737185579057,0.00024012234887993715,0.9965183367076561
W31123,7.538723,5.0355964,3Ery,0.0001556404304607195,0.0006172435771403768,0.005830221685182384,0.0004051547788033445,0.9929912145578813
W31124,8.600008,6.163725,2Ery,0.000149113273438431,0.0006018212289543364,0.005660499512026693,0.0003752831193542297,0.993212638276596
W31125,-0.8384341,7.4859266,8Mk,0.040594282374501314,0.06446421355549962,0.457646345724829,0.1798043433857528,0.25748825224857796
W31126,4.713569,3.915215,3Ery,0.0017273518863479193,0.005867922052367377,0.05770875814475807,0.005539946629994343,0.9291554306441784
W31127,-5.1437883,5.9059477,9GMP,0.08736852031248091,0.06231083455569248,0.26439646540091466,0.4548438641896522,0.13107988968279755
W31128,-0.42173293,7.096389,8Mk,0.03544019606887691,0.058519824925539206,0.43993024871647085,0.15698484383865122,0.30912287262958066
W31129,-2.0927708,5.6256785,10GMP,0.04370266198951186,0.12160377608690584,0.6078733294920646,0.10735516021887344,0.11946409209146445
W31130,-4.5987387,8.477653,15Mo,0.11601563505508274,0.05865808073993975,0.22679569839432465,0.5398690042217025,0.05866103090767102
W31131,-7.335084,9.786362,16Neu,0.060458602275271896,0.020969337692361898,0.08632420110516104,0.8073893372265645,0.024858388387589088
W31132,6.685638,5.7824955,4Ery,0.00022521654662366493,0.0009053385219698306,0.008537765035393581,0.0005740678774915683,0.9897569550007711
W31133,-4.2535605,6.3367877,13Baso,0.08466407484984656,0.07081699364260766,0.3055897943648582,0.44297958633480067,0.09594909741711585
