,pseudotime,predicted_expr,gene,lineage
0,0.0,0.6407,H2-Eb1,11DC
1,0.0101,0.6153,H2-Eb1,11DC
2,0.0202,0.5899,H2-Eb1,11DC
3,0.0303,0.5646,H2-Eb1,11DC
4,0.0404,0.5395,H2-Eb1,11DC
5,0.0505,0.5147,H2-Eb1,11DC
6,0.0606,0.4904,H2-Eb1,11DC
7,0.0707,0.4665,H2-Eb1,11DC
8,0.0808,0.4431,H2-Eb1,11DC
9,0.0909,0.4205,H2-Eb1,11DC
10,0.101,0.3986,H2-Eb1,11DC
11,0.1111,0.3775,H2-Eb1,11DC
12,0.1212,0.3575,H2-Eb1,11DC
13,0.1313,0.3384,H2-Eb1,11DC
14,0.1414,0.3205,H2-Eb1,11DC
15,0.1515,0.3038,H2-Eb1,11DC
16,0.1616,0.2884,H2-Eb1,11DC
17,0.1717,0.2745,H2-Eb1,11DC
18,0.1818,0.2622,H2-Eb1,11DC
19,0.1919,0.2519,H2-Eb1,11DC
20,0.202,0.2438,H2-Eb1,11DC
21,0.2121,0.2381,H2-Eb1,11DC
22,0.2222,0.2353,H2-Eb1,11DC
23,0.2323,0.2354,H2-Eb1,11DC
24,0.2424,0.2389,H2-Eb1,11DC
25,0.2525,0.2459,H2-Eb1,11DC
26,0.2626,0.2567,H2-Eb1,11DC
27,0.2727,0.2717,H2-Eb1,11DC
28,0.2828,0.291,H2-Eb1,11DC
29,0.2929,0.315,H2-Eb1,11DC
30,0.303,0.3439,H2-Eb1,11DC
31,0.3131,0.3779,H2-Eb1,11DC
32,0.3232,0.4174,H2-Eb1,11DC
33,0.3333,0.4626,H2-Eb1,11DC
34,0.3434,0.513,H2-Eb1,11DC
35,0.3535,0.5683,H2-Eb1,11DC
36,0.3636,0.628,H2-Eb1,11DC
37,0.3737,0.6917,H2-Eb1,11DC
38,0.3838,0.7588,H2-Eb1,11DC
39,0.3939,0.829,H2-Eb1,11DC
40,0.404,0.9018,H2-Eb1,11DC
41,0.4141,0.9767,H2-Eb1,11DC
42,0.4242,1.0533,H2-Eb1,11DC
43,0.4343,1.1311,H2-Eb1,11DC
44,0.4444,1.2097,H2-Eb1,11DC
45,0.4545,1.2886,H2-Eb1,11DC
46,0.4646,1.3674,H2-Eb1,11DC
47,0.4747,1.4456,H2-Eb1,11DC
48,0.4848,1.5228,H2-Eb1,11DC
49,0.4949,1.5992,H2-Eb1,11DC
50,0.5051,1.6756,H2-Eb1,11DC
