,pseudotime,predicted_expr,gene,lineage
0,0.0,0.5962,Ccl5,19Lymph
1,0.0101,0.5486,Ccl5,19Lymph
2,0.0202,0.5024,Ccl5,19Lymph
3,0.0303,0.4578,Ccl5,19Lymph
4,0.0404,0.4152,Ccl5,19Lymph
5,0.0505,0.3747,Ccl5,19Lymph
6,0.0606,0.3366,Ccl5,19Lymph
7,0.0707,0.3013,Ccl5,19Lymph
8,0.0808,0.269,Ccl5,19Lymph
9,0.0909,0.2399,Ccl5,19Lymph
10,0.101,0.2145,Ccl5,19Lymph
11,0.1111,0.1928,Ccl5,19Lymph
12,0.1212,0.1753,Ccl5,19Lymph
13,0.1313,0.1622,Ccl5,19Lymph
14,0.1414,0.1537,Ccl5,19Lymph
15,0.1515,0.1502,Ccl5,19Lymph
16,0.1616,0.1519,Ccl5,19Lymph
17,0.1717,0.159,Ccl5,19Lymph
18,0.1818,0.1719,Ccl5,19Lymph
19,0.1919,0.1904,Ccl5,19Lymph
20,0.202,0.2147,Ccl5,19Lymph
21,0.2121,0.2448,Ccl5,19Lymph
22,0.2222,0.2807,Ccl5,19Lymph
23,0.2323,0.3225,Ccl5,19Lymph
24,0.2424,0.3702,Ccl5,19Lymph
25,0.2525,0.4239,Ccl5,19Lymph
26,0.2626,0.4835,Ccl5,19Lymph
27,0.2727,0.5493,Ccl5,19Lymph
28,0.2828,0.6211,Ccl5,19Lymph
29,0.2929,0.6991,Ccl5,19Lymph
30,0.303,0.7832,Ccl5,19Lymph
31,0.3131,0.8736,Ccl5,19Lymph
32,0.3232,0.9702,Ccl5,19Lymph
33,0.3333,1.0731,Ccl5,19Lymph
34,0.3434,1.1823,Ccl5,19Lymph
35,0.3535,1.2972,Ccl5,19Lymph
36,0.3636,1.4171,Ccl5,19Lymph
37,0.3737,1.5414,Ccl5,19Lymph
38,0.3838,1.6693,Ccl5,19Lymph
39,0.3939,1.8001,Ccl5,19Lymph
40,0.404,1.9332,Ccl5,19Lymph
41,0.4141,2.0678,Ccl5,19Lymph
42,0.4242,2.2033,Ccl5,19Lymph
43,0.4343,2.3389,Ccl5,19Lymph
44,0.4444,2.474,Ccl5,19Lymph
45,0.4545,2.6078,Ccl5,19Lymph
46,0.4646,2.7398,Ccl5,19Lymph
47,0.4747,2.869,Ccl5,19Lymph
48,0.4848,2.995,Ccl5,19Lymph
49,0.4949,3.1169,Ccl5,19Lymph
50,0.5051,3.2345,Ccl5,19Lymph
51,0.5152,3.351,Ccl5,19Lymph
52,0.5253,3.4675,Ccl5,19Lymph
53,0.5354,3.584,Ccl5,19Lymph
54,0.5455,3.7005,Ccl5,19Lymph
55,0.5556,3.817,Ccl5,19Lymph
56,0.5657,3.9336,Ccl5,19Lymph
57,0.5758,4.0501,Ccl5,19Lymph
58,0.5859,4.1666,Ccl5,19Lymph
59,0.596,4.2831,Ccl5,19Lymph
60,0.6061,4.3996,Ccl5,19Lymph
61,0.6162,4.5161,Ccl5,19Lymph
62,0.6263,4.6326,Ccl5,19Lymph
63,0.6364,4.7492,Ccl5,19Lymph
64,0.6465,4.8657,Ccl5,19Lymph
65,0.6566,4.9822,Ccl5,19Lymph
66,0.6667,5.0987,Ccl5,19Lymph
67,0.6768,5.2152,Ccl5,19Lymph
68,0.6869,5.3317,Ccl5,19Lymph
69,0.697,5.4482,Ccl5,19Lymph
70,0.7071,5.5648,Ccl5,19Lymph
71,0.7172,5.6813,Ccl5,19Lymph
72,0.7273,5.7978,Ccl5,19Lymph
73,0.7374,5.9143,Ccl5,19Lymph
74,0.7475,6.0308,Ccl5,19Lymph
75,0.7576,6.1473,Ccl5,19Lymph
76,0.7677,6.2638,Ccl5,19Lymph
77,0.7778,6.3804,Ccl5,19Lymph
78,0.7879,6.4969,Ccl5,19Lymph
79,0.798,6.6134,Ccl5,19Lymph
80,0.8081,6.7299,Ccl5,19Lymph
81,0.8182,6.8464,Ccl5,19Lymph
82,0.8283,6.9629,Ccl5,19Lymph
83,0.8384,7.0795,Ccl5,19Lymph
84,0.8485,7.196,Ccl5,19Lymph
85,0.8586,7.3125,Ccl5,19Lymph
86,0.8687,7.429,Ccl5,19Lymph
87,0.8788,7.5455,Ccl5,19Lymph
88,0.8889,7.662,Ccl5,19Lymph
89,0.899,7.7785,Ccl5,19Lymph
90,0.9091,7.8951,Ccl5,19Lymph
91,0.9192,8.0116,Ccl5,19Lymph
92,0.9293,8.1281,Ccl5,19Lymph
93,0.9394,8.2446,Ccl5,19Lymph
94,0.9495,8.3611,Ccl5,19Lymph
95,0.9596,8.4776,Ccl5,19Lymph
96,0.9697,8.5941,Ccl5,19Lymph
97,0.9798,8.7107,Ccl5,19Lymph
98,0.9899,8.8272,Ccl5,19Lymph
99,1.0,8.9437,Ccl5,19Lymph
100,0.0,0.3679,Ctsw,19Lymph
101,0.0101,0.342,Ctsw,19Lymph
102,0.0202,0.3169,Ctsw,19Lymph
103,0.0303,0.2927,Ctsw,19Lymph
104,0.0404,0.2697,Ctsw,19Lymph
105,0.0505,0.248,Ctsw,19Lymph
106,0.0606,0.2277,Ctsw,19Lymph
107,0.0707,0.209,Ctsw,19Lymph
108,0.0808,0.192,Ctsw,19Lymph
109,0.0909,0.1769,Ctsw,19Lymph
110,0.101,0.1638,Ctsw,19Lymph
111,0.1111,0.1529,Ctsw,19Lymph
112,0.1212,0.1443,Ctsw,19Lymph
113,0.1313,0.1382,Ctsw,19Lymph
114,0.1414,0.1347,Ctsw,19Lymph
115,0.1515,0.134,Ctsw,19Lymph
116,0.1616,0.1363,Ctsw,19Lymph
117,0.1717,0.1416,Ctsw,19Lymph
118,0.1818,0.15,Ctsw,19Lymph
119,0.1919,0.1617,Ctsw,19Lymph
120,0.202,0.1765,Ctsw,19Lymph
121,0.2121,0.1946,Ctsw,19Lymph
122,0.2222,0.216,Ctsw,19Lymph
123,0.2323,0.2406,Ctsw,19Lymph
124,0.2424,0.2685,Ctsw,19Lymph
125,0.2525,0.2998,Ctsw,19Lymph
126,0.2626,0.3344,Ctsw,19Lymph
127,0.2727,0.3723,Ctsw,19Lymph
128,0.2828,0.4136,Ctsw,19Lymph
129,0.2929,0.4584,Ctsw,19Lymph
130,0.303,0.5066,Ctsw,19Lymph
131,0.3131,0.5582,Ctsw,19Lymph
132,0.3232,0.6133,Ctsw,19Lymph
133,0.3333,0.6719,Ctsw,19Lymph
134,0.3434,0.7339,Ctsw,19Lymph
135,0.3535,0.7992,Ctsw,19Lymph
136,0.3636,0.8672,Ctsw,19Lymph
137,0.3737,0.9376,Ctsw,19Lymph
138,0.3838,1.01,Ctsw,19Lymph
139,0.3939,1.084,Ctsw,19Lymph
140,0.404,1.1592,Ctsw,19Lymph
141,0.4141,1.2353,Ctsw,19Lymph
142,0.4242,1.3119,Ctsw,19Lymph
143,0.4343,1.3885,Ctsw,19Lymph
144,0.4444,1.4647,Ctsw,19Lymph
145,0.4545,1.5403,Ctsw,19Lymph
146,0.4646,1.6148,Ctsw,19Lymph
147,0.4747,1.6878,Ctsw,19Lymph
148,0.4848,1.7589,Ctsw,19Lymph
149,0.4949,1.8277,Ctsw,19Lymph
150,0.5051,1.8941,Ctsw,19Lymph
151,0.5152,1.9599,Ctsw,19Lymph
152,0.5253,2.0257,Ctsw,19Lymph
153,0.5354,2.0915,Ctsw,19Lymph
154,0.5455,2.1573,Ctsw,19Lymph
155,0.5556,2.2231,Ctsw,19Lymph
156,0.5657,2.2889,Ctsw,19Lymph
157,0.5758,2.3547,Ctsw,19Lymph
158,0.5859,2.4205,Ctsw,19Lymph
159,0.596,2.4863,Ctsw,19Lymph
160,0.6061,2.5521,Ctsw,19Lymph
161,0.6162,2.6179,Ctsw,19Lymph
162,0.6263,2.6837,Ctsw,19Lymph
163,0.6364,2.7495,Ctsw,19Lymph
164,0.6465,2.8153,Ctsw,19Lymph
165,0.6566,2.881,Ctsw,19Lymph
166,0.6667,2.9468,Ctsw,19Lymph
167,0.6768,3.0126,Ctsw,19Lymph
168,0.6869,3.0784,Ctsw,19Lymph
169,0.697,3.1442,Ctsw,19Lymph
170,0.7071,3.21,Ctsw,19Lymph
171,0.7172,3.2758,Ctsw,19Lymph
172,0.7273,3.3416,Ctsw,19Lymph
173,0.7374,3.4074,Ctsw,19Lymph
174,0.7475,3.4732,Ctsw,19Lymph
175,0.7576,3.539,Ctsw,19Lymph
176,0.7677,3.6048,Ctsw,19Lymph
177,0.7778,3.6706,Ctsw,19Lymph
178,0.7879,3.7364,Ctsw,19Lymph
179,0.798,3.8022,Ctsw,19Lymph
180,0.8081,3.868,Ctsw,19Lymph
181,0.8182,3.9338,Ctsw,19Lymph
182,0.8283,3.9996,Ctsw,19Lymph
183,0.8384,4.0654,Ctsw,19Lymph
184,0.8485,4.1312,Ctsw,19Lymph
185,0.8586,4.197,Ctsw,19Lymph
186,0.8687,4.2628,Ctsw,19Lymph
187,0.8788,4.3286,Ctsw,19Lymph
188,0.8889,4.3944,Ctsw,19Lymph
189,0.899,4.4602,Ctsw,19Lymph
190,0.9091,4.526,Ctsw,19Lymph
191,0.9192,4.5918,Ctsw,19Lymph
192,0.9293,4.6576,Ctsw,19Lymph
193,0.9394,4.7234,Ctsw,19Lymph
194,0.9495,4.7892,Ctsw,19Lymph
195,0.9596,4.855,Ctsw,19Lymph
196,0.9697,4.9208,Ctsw,19Lymph
197,0.9798,4.9866,Ctsw,19Lymph
198,0.9899,5.0524,Ctsw,19Lymph
199,1.0,5.1181,Ctsw,19Lymph
200,0.0,0.1479,Cd2,19Lymph
201,0.0101,0.1338,Cd2,19Lymph
202,0.0202,0.1201,Cd2,19Lymph
203,0.0303,0.1071,Cd2,19Lymph
204,0.0404,0.0947,Cd2,19Lymph
205,0.0505,0.083,Cd2,19Lymph
206,0.0606,0.0722,Cd2,19Lymph
207,0.0707,0.0623,Cd2,19Lymph
208,0.0808,0.0534,Cd2,19Lymph
209,0.0909,0.0457,Cd2,19Lymph
210,0.101,0.0391,Cd2,19Lymph
211,0.1111,0.0338,Cd2,19Lymph
212,0.1212,0.0299,Cd2,19Lymph
213,0.1313,0.0274,Cd2,19Lymph
214,0.1414,0.0265,Cd2,19Lymph
215,0.1515,0.0273,Cd2,19Lymph
216,0.1616,0.0297,Cd2,19Lymph
217,0.1717,0.034,Cd2,19Lymph
218,0.1818,0.0402,Cd2,19Lymph
219,0.1919,0.0481,Cd2,19Lymph
220,0.202,0.058,Cd2,19Lymph
221,0.2121,0.0697,Cd2,19Lymph
222,0.2222,0.0832,Cd2,19Lymph
223,0.2323,0.0985,Cd2,19Lymph
224,0.2424,0.1157,Cd2,19Lymph
225,0.2525,0.1347,Cd2,19Lymph
226,0.2626,0.1555,Cd2,19Lymph
227,0.2727,0.1781,Cd2,19Lymph
228,0.2828,0.2025,Cd2,19Lymph
229,0.2929,0.2287,Cd2,19Lymph
230,0.303,0.2566,Cd2,19Lymph
231,0.3131,0.2864,Cd2,19Lymph
232,0.3232,0.3179,Cd2,19Lymph
233,0.3333,0.3512,Cd2,19Lymph
234,0.3434,0.3862,Cd2,19Lymph
235,0.3535,0.4227,Cd2,19Lymph
236,0.3636,0.4606,Cd2,19Lymph
237,0.3737,0.4996,Cd2,19Lymph
238,0.3838,0.5395,Cd2,19Lymph
239,0.3939,0.5801,Cd2,19Lymph
240,0.404,0.6211,Cd2,19Lymph
241,0.4141,0.6623,Cd2,19Lymph
242,0.4242,0.7036,Cd2,19Lymph
243,0.4343,0.7446,Cd2,19Lymph
244,0.4444,0.7851,Cd2,19Lymph
245,0.4545,0.825,Cd2,19Lymph
246,0.4646,0.8641,Cd2,19Lymph
247,0.4747,0.902,Cd2,19Lymph
248,0.4848,0.9385,Cd2,19Lymph
249,0.4949,0.9736,Cd2,19Lymph
250,0.5051,1.007,Cd2,19Lymph
251,0.5152,1.0399,Cd2,19Lymph
252,0.5253,1.0729,Cd2,19Lymph
253,0.5354,1.1059,Cd2,19Lymph
254,0.5455,1.1389,Cd2,19Lymph
255,0.5556,1.1719,Cd2,19Lymph
256,0.5657,1.2049,Cd2,19Lymph
257,0.5758,1.2379,Cd2,19Lymph
258,0.5859,1.2709,Cd2,19Lymph
259,0.596,1.3039,Cd2,19Lymph
260,0.6061,1.3368,Cd2,19Lymph
261,0.6162,1.3698,Cd2,19Lymph
262,0.6263,1.4028,Cd2,19Lymph
263,0.6364,1.4358,Cd2,19Lymph
264,0.6465,1.4688,Cd2,19Lymph
265,0.6566,1.5018,Cd2,19Lymph
266,0.6667,1.5348,Cd2,19Lymph
267,0.6768,1.5678,Cd2,19Lymph
268,0.6869,1.6008,Cd2,19Lymph
269,0.697,1.6338,Cd2,19Lymph
270,0.7071,1.6667,Cd2,19Lymph
271,0.7172,1.6997,Cd2,19Lymph
272,0.7273,1.7327,Cd2,19Lymph
273,0.7374,1.7657,Cd2,19Lymph
274,0.7475,1.7987,Cd2,19Lymph
275,0.7576,1.8317,Cd2,19Lymph
276,0.7677,1.8647,Cd2,19Lymph
277,0.7778,1.8977,Cd2,19Lymph
278,0.7879,1.9307,Cd2,19Lymph
279,0.798,1.9637,Cd2,19Lymph
280,0.8081,1.9966,Cd2,19Lymph
281,0.8182,2.0296,Cd2,19Lymph
282,0.8283,2.0626,Cd2,19Lymph
283,0.8384,2.0956,Cd2,19Lymph
284,0.8485,2.1286,Cd2,19Lymph
285,0.8586,2.1616,Cd2,19Lymph
286,0.8687,2.1946,Cd2,19Lymph
287,0.8788,2.2276,Cd2,19Lymph
288,0.8889,2.2606,Cd2,19Lymph
289,0.899,2.2936,Cd2,19Lymph
290,0.9091,2.3265,Cd2,19Lymph
291,0.9192,2.3595,Cd2,19Lymph
292,0.9293,2.3925,Cd2,19Lymph
293,0.9394,2.4255,Cd2,19Lymph
