,11DC,19Lymph,7MEP,15Mo,3Ery
H2-Eb1,0.7421,-0.0342,-0.0771,-0.0764,-0.088
H2-Aa,0.7026,-0.0362,-0.0658,-0.0778,-0.0822
Cd74,0.6782,0.0304,-0.0534,-0.0963,-0.0851
Plbd1,0.676,-0.0359,-0.0583,-0.0633,-0.0903
Lgals3,0.5753,-0.0323,-0.0567,0.026,-0.1333
Irf8,0.5445,0.0275,-0.1002,0.4249,-0.4195
NAAA,0.4871,-0.0187,-0.0876,0.0069,-0.0819
H2-Ab1,0.4679,-0.0119,-0.0782,-0.0791,-0.0183
Batf3,0.4674,-0.0265,-0.055,-0.0494,-0.0498
Id2,0.4662,0.4225,-0.0832,-0.0659,-0.1337
Cd52,0.4618,0.2629,-0.1073,0.4482,-0.4703
Lsp1,0.4471,0.2616,0.0125,0.0306,-0.2142
Coro1a,0.4462,0.1987,0.0382,0.6747,-0.7019
Cst3,0.4435,-0.067,-0.1212,0.478,-0.398
Pld4,0.4237,-0.0265,-0.0758,0.2162,-0.2287
Lilrb3,0.4137,-0.0188,-0.0173,-0.0355,-0.0686
Klf4,0.4137,-0.0262,-0.0711,0.1356,-0.1674
Aif1,0.4129,-0.0186,-0.0438,0.0073,-0.0865
Vim,0.4127,0.1116,0.2306,0.4622,-0.6149
Tyrobp,0.3879,0.1957,-0.1078,0.572,-0.5278
