,umap_1,umap_2,paul15_clusters,priming
W31105,-0.042982515,4.9391413,7MEP,0.6551959397069215
W31106,-7.29048,7.8913746,15Mo,0.37931275573589573
W31107,8.920913,3.6123116,3Ery,0.627680487559115
W31108,-8.715149,9.499612,15Mo,0.6556350750095145
W31109,8.98244,4.066399,3Ery,0.624418754363865
W31110,-6.5154243,8.743474,15Mo,0.2692183932132506
W31111,5.072736,3.8488007,4Ery,0.506056067355238
W31113,1.378745,4.4413023,2Ery,0.3048357239974407
W31114,4.614032,3.4123058,3Ery,0.43490453454657874
W31115,7.754226,6.3932805,2Ery,0.6032556113535354
W31116,6.664053,5.812242,2Ery,0.5957620478257027
W31117,-2.5683348,7.315169,17Neu,0.22148874758644874
W31118,-7.834097,8.6683445,14Mo,0.37593696212087613
W31119,-4.3723564,7.1258645,13Baso,0.17106067546743425
W31120,7.506144,5.1862526,3Ery,0.6088476300061152
W31121,-0.006649152,4.0180225,7MEP,0.5260306827750815
W31122,7.2904825,3.1258366,3Ery,0.6212040472940379
W31123,7.538723,5.0355964,3Ery,0.6078104697736351
W31124,8.600008,6.163725,2Ery,0.6086482902883669
W31125,-0.8384341,7.4859266,8Mk,0.10092825021863983
W31126,4.713569,3.915215,3Ery,0.4534795301348556
W31127,-5.1437883,5.9059477,9GMP,0.10096513950923057
W31128,-0.42173293,7.096389,8Mk,0.08499184281064541
W31129,-2.0927708,5.6256785,10GMP,0.3688369986711233
W31130,-4.5987387,8.477653,15Mo,0.22254468519910806
W31131,-7.335084,9.786362,16Neu,0.46978550602376173
W31132,6.685638,5.7824955,4Ery,0.5967558560775728
W31133,-4.2535605,6.3367877,13Baso,0.14487123695900425
W31134,-2.219283,6.098724,17Neu,0.37126087482255327
W31136,8.229297,3.7720444,3Ery,0.6239568289165932
W31137,7.8272395,4.999436,2Ery,0.6108640541492885
W31138,6.768849,3.078549,3Ery,0.6154923099119776
W31139,3.920943,5.29666,5Ery,0.2825600513589431
W31140,6.454656,3.6715126,3Ery,0.5881876755221602
W31141,-5.7202544,7.0516257,13Baso,0.27801783702966926
W31142,8.118655,7.5247884,1Ery,0.602195304017578
W31143,9.050803,4.455307,3Ery,0.6238329317588456
W31144,5.968749,3.3591366,6Ery,0.5522069995977801
W31145,-6.072276,9.8092,15Mo,0.37065633149165905
W31146,5.378461,4.4766626,3Ery,0.5386893147607383
W31147,8.22752,5.704415,3Ery,0.6105499301630255
W31148,-8.334054,8.053911,14Mo,0.40106387956825906
W31149,-2.7521448,3.7298682,19Lymph,0.48575712732921555
