,umap_1,umap_2,paul15_clusters,state
W31105,-0.042982515,4.9391413,7MEP,
W31106,-7.29048,7.8913746,15Mo,
W31107,8.920913,3.6123116,3Ery,
W31108,-8.715149,9.499612,15Mo,
W31109,8.98244,4.066399,3Ery,
W31110,-6.5154243,8.743474,15Mo,
W31111,5.072736,3.8488007,4Ery,
W31113,1.378745,4.4413023,2Ery,
W31114,4.614032,3.4123058,3Ery,
W31115,7.754226,6.3932805,2Ery,
W31116,6.664053,5.812242,2Ery,
W31117,-2.5683348,7.315169,17Neu,
W31118,-7.834097,8.6683445,14Mo,
W31119,-4.3723564,7.1258645,13Baso,
W31120,7.506144,5.1862526,3Ery,
W31121,-0.006649152,4.0180225,7MEP,
W31122,7.2904825,3.1258366,3Ery,
W31123,7.538723,5.0355964,3Ery,
W31124,8.600008,6.163725,2Ery,
W31125,-0.8384341,7.4859266,8Mk,
W31126,4.713569,3.915215,3Ery,
W31127,-5.1437883,5.9059477,9GMP,
W31128,-0.42173293,7.096389,8Mk,
W31129,-2.0927708,5.6256785,10GMP,
W31130,-4.5987387,8.477653,15Mo,
W31131,-7.335084,9.786362,16Neu,
W31132,6.685638,5.7824955,4Ery,
W31133,-4.2535605,6.3367877,13Baso,
W31134,-2.219283,6.098724,17Neu,
W31136,8.229297,3.7720444,3Ery,
W31137,7.8272395,4.999436,2Ery,
W31138,6.768849,3.078549,3Ery,
W31139,3.920943,5.29666,5Ery,
W31140,6.454656,3.6715126,3Ery,
W31141,-5.7202544,7.0516257,13Baso,
W31142,8.118655,7.5247884,1Ery,
W31143,9.050803,4.455307,3Ery,
W31144,5.968749,3.3591366,6Ery,
W31145,-6.072276,9.8092,15Mo,
W31146,5.378461,4.4766626,3Ery,
W31147,8.22752,5.704415,3Ery,
W31148,-8.334054,8.053911,14Mo,
W31149,-2.7521448,3.7298682,19Lymph,19Lymph
W31150,-2.9810274,7.585816,12Baso,
W31151,8.70292,3.6804798,3Ery,
W31152,-7.486655,7.5224233,14Mo,
W31153,5.9150434,4.053491,6Ery,
W31154,7.105807,4.6799912,4Ery,
W31155,-0.7433455,4.743268,7MEP,
W31156,8.395204,5.936741,2Ery,
W31157,-3.3646357,5.9576144,13Baso,
W31158,-7.4977517,9.826473,14Mo,
W31159,4.726878,4.3733172,6Ery,
W31160,-1.2114888,5.3994107,18Eos,
W31161,7.223895,5.6933665,4Ery,
W31162,6.8714604,4.8542895,3Ery,
W31163,6.563403,5.0750494,3Ery,
W31164,-7.618788,7.8451877,14Mo,
W31165,8.439215,5.519137,2Ery,
W31166,-6.180852,7.211436,13Baso,
W31167,8.876543,5.7588716,2Ery,
W31168,-9.124124,7.4622064,13Baso,
W31169,-6.5899463,6.645201,13Baso,
W31170,-8.742626,8.173448,14Mo,
W31171,-0.42331254,4.5307345,7MEP,7MEP
W31172,4.6910763,3.4499671,7MEP,
W31173,-0.43272984,5.0966415,7MEP,
W31174,-4.037222,5.916346,10GMP,
W31175,-3.1104596,7.335657,12Baso,
W31176,3.3129866,4.4364796,6Ery,
W31177,4.770334,4.839007,5Ery,
W31178,5.1526136,5.212995,5Ery,
W31179,-6.902704,9.858998,14Mo,
W31180,7.4907575,5.547132,4Ery,
W31181,-7.0057745,11.19231,16Neu,
W31182,-7.7878046,10.278083,16Neu,
W31183,7.834867,3.6850026,3Ery,
W31184,7.0833535,5.5468774,2Ery,
W31185,6.610882,5.8981333,6Ery,
W31186,-6.321574,6.243715,13Baso,
W31187,-4.7218065,6.0698895,13Baso,
W31188,-3.4964306,6.246165,10GMP,
W31189,-6.9072967,9.758239,14Mo,
W31190,5.6891356,5.8354936,5Ery,
W31191,0.08362714,4.468735,7MEP,
W31192,0.22372517,5.430943,7MEP,
W31193,7.3735237,4.730391,5Ery,
W31194,4.3655915,4.8688145,6Ery,
W31195,8.776019,5.5844355,2Ery,
W31196,3.1143901,5.1856966,10GMP,
W31197,-4.2914557,6.22651,10GMP,
W31198,7.86488,5.681798,2Ery,
W31199,-1.1155785,4.5420365,7MEP,
W31200,3.6927958,4.716976,6Ery,
W31201,0.6363948,4.744288,7MEP,
W31202,-6.583789,7.7894077,14Mo,
W31203,-5.3342667,8.885079,16Neu,
W31204,-4.1332955,5.768752,10GMP,
W31205,5.5675316,5.7888193,3Ery,
W31206,8.526059,3.2985451,3Ery,3Ery
W31207,-7.687627,7.9795933,13Baso,
W31209,8.931653,5.9454117,1Ery,
W31210,-5.8293824,8.87446,14Mo,
W31211,-7.1839247,8.513858,15Mo,
W31212,6.6068754,6.982534,2Ery,
W31213,2.5148087,5.308216,5Ery,
W31214,7.4498653,7.474091,2Ery,
W31215,3.8586366,5.4305196,5Ery,
W31217,7.955603,3.8850405,3Ery,
W31218,-6.013776,8.6976,14Mo,
W31219,-4.7301393,5.846579,10GMP,
W31220,7.534758,7.0543485,2Ery,
W31221,-0.20238236,4.331738,7MEP,7MEP
W31222,7.200543,4.4488006,4Ery,
W31223,-4.0981097,5.9837403,9GMP,
W31224,0.10845386,5.7396417,7MEP,
W31225,6.9955974,6.848842,3Ery,
W31226,-6.2619967,10.882542,16Neu,
W31227,-4.593146,2.4399097,11DC,11DC
W31228,-1.8898668,6.424313,10GMP,
W31229,4.6131706,3.7135854,6Ery,
W31230,3.71109,5.1600027,3Ery,
W31231,6.5778017,7.0445576,2Ery,
W31232,7.3097353,5.501037,5Ery,
W31233,5.319697,6.7736597,2Ery,
W31234,7.9342985,6.397823,2Ery,
W31236,5.3737106,6.6324277,5Ery,
W31237,-6.083748,7.9982724,14Mo,
W31238,5.9984684,4.0964994,5Ery,
W31239,-6.6491537,8.088634,14Mo,
W31240,6.061717,3.7745166,3Ery,
W31241,6.3900504,6.750216,2Ery,
W31242,-4.9375734,10.511647,16Neu,
W31243,8.687581,6.5254617,2Ery,
W31244,-3.0432088,6.8876266,13Baso,
W31245,-5.23218,10.537728,16Neu,
W31246,7.060069,7.497469,2Ery,
W31247,8.82626,5.5685496,3Ery,
W31248,7.534723,3.469337,3Ery,
W31249,-6.021461,7.556961,14Mo,
W31250,5.8841777,6.563425,5Ery,
W31251,-6.9069767,11.5337105,16Neu,
W31252,-6.158548,8.150014,14Mo,
W31253,-3.4380953,7.8133545,14Mo,
W31254,-8.61359,7.386631,13Baso,
W31255,7.7250595,5.2818217,3Ery,
W31256,-5.1962247,8.498979,14Mo,
W31257,0.316784,4.6810546,7MEP,
W31259,-6.248795,7.1067553,14Mo,
W31260,-2.9334772,6.9361405,10GMP,
W31262,3.8928912,6.307788,2Ery,
W31263,-3.3753717,7.3688393,14Mo,
W31264,-4.4747286,9.068005,15Mo,
W31265,-6.897299,7.894335,14Mo,
W31266,-6.932581,11.1018095,16Neu,
W31267,-2.4566905,5.690261,10GMP,
W31268,-0.94226265,4.599181,7MEP,
W31269,3.818592,6.178908,5Ery,
W31270,-5.7481785,11.292136,16Neu,
W31271,5.4218407,7.0031533,2Ery,
W31272,-5.6267095,10.168095,16Neu,
W31273,-5.5009785,9.695501,14Mo,
W31274,-4.3513703,6.6779017,10GMP,
W31275,-5.9793415,11.077106,16Neu,
W31276,-0.3313447,5.565086,8Mk,
W31277,0.40562698,4.335606,7MEP,
W31278,-6.8320413,7.5471554,14Mo,
W31279,0.10151079,5.3775845,7MEP,
W31280,6.879241,6.3392053,2Ery,
W31281,-6.606892,7.471148,14Mo,
W31282,-3.7758138,7.631547,14Mo,
W31283,6.1814537,6.0008907,4Ery,
W31284,4.742543,6.1586623,5Ery,
W31285,-3.9721773,8.020278,14Mo,
W31286,-3.9922996,8.096142,14Mo,
W31287,-0.5974041,6.192097,10GMP,
W31288,0.7996437,4.7628675,6Ery,
W31289,5.3717055,5.8472238,5Ery,
W31290,-5.7215133,8.28938,14Mo,
W31291,8.511718,4.024507,3Ery,
W31292,5.468979,4.3052273,5Ery,
W31293,-7.3291965,8.902886,15Mo,
W31294,5.485282,6.029569,5Ery,
W31295,-5.4887476,8.612965,14Mo,
W31296,-6.1507134,9.163359,16Neu,
W31297,-0.80641735,5.292503,8Mk,
W31298,9.115197,4.43004,3Ery,
W31299,-7.8723097,8.7765045,14Mo,
W31300,-0.91828823,4.7729807,12Baso,
W31301,-7.6433434,8.224742,14Mo,
W31302,8.661044,3.2262049,3Ery,3Ery
W31303,4.0408716,4.940801,5Ery,
W31305,-3.406898,7.795356,16Neu,
W31306,-8.328582,10.008635,15Mo,
W31307,-7.6293297,7.436349,13Baso,
W31309,6.667664,5.11794,5Ery,
W31310,8.383248,3.0805888,3Ery,3Ery
W31311,-5.043832,6.908363,13Baso,
W31312,-2.1264508,7.1271152,12Baso,
W31313,-0.67308885,5.180282,8Mk,7MEP
W31314,-0.024969006,6.7633767,7MEP,
W31315,4.1758404,4.297141,6Ery,
W31316,8.038893,5.9081883,2Ery,
W31317,9.138056,3.8143394,3Ery,
W31318,8.681322,4.464376,3Ery,
W31319,-7.657315,8.831456,15Mo,
W31321,4.456927,3.6593604,3Ery,
W31322,7.1391096,4.513862,3Ery,
W31323,6.2097096,3.5804744,3Ery,
W31324,0.62089634,6.310852,8Mk,
W31325,7.0264645,6.250723,2Ery,
W31326,8.445577,5.28545,2Ery,
W31327,-7.9408283,8.706441,14Mo,
W31328,6.8419676,4.275044,3Ery,
W31329,-8.705162,8.708712,15Mo,
W31330,-7.921681,8.148488,14Mo,
W31331,0.59174377,4.7835345,7MEP,
W31332,-4.8534126,9.599878,15Mo,
W31333,6.9644694,4.9322586,3Ery,
W31334,6.899088,5.529348,3Ery,
W31335,-4.004297,7.8145757,13Baso,
W31336,-8.7603655,8.858503,15Mo,
W31337,8.495904,4.1211276,3Ery,
W31338,-8.377621,9.016525,15Mo,
W31339,-7.7679543,7.448685,13Baso,
W31340,5.5335836,3.9626744,3Ery,
W31341,-6.448397,9.6318655,15Mo,
W31342,-8.047958,10.243289,15Mo,
W31343,-9.1610985,7.7366304,13Baso,
W31344,-3.0457592,4.5507903,19Lymph,19Lymph
W31345,6.2928877,4.1796255,4Ery,
W31346,6.911158,4.6481895,3Ery,
W31347,-6.338546,7.8014836,14Mo,
W31348,7.2015305,5.252429,4Ery,
W31349,3.1149566,5.319823,6Ery,
W31350,-8.196431,11.014519,16Neu,15Mo
W31351,-8.600605,7.9374843,14Mo,
W31353,8.578993,5.888066,3Ery,
W31354,-1.7574196,6.2755327,17Neu,
W31355,-7.533683,8.556509,15Mo,
W31356,5.5798154,5.119098,4Ery,
W31357,8.085135,3.6755073,3Ery,
W31358,2.8152795,5.273638,6Ery,
W31359,-6.5830073,8.325587,14Mo,
W31360,6.989852,2.775784,3Ery,
W31361,-5.2915115,9.522899,16Neu,
W31362,-7.653389,7.628838,14Mo,
W31363,-6.972907,10.306787,15Mo,
W31364,1.4155152,5.615716,7MEP,
W31365,-5.7703314,6.4553156,13Baso,
W31366,-5.4871144,9.669698,15Mo,
W31367,-8.116472,7.343806,14Mo,
W31368,8.260337,3.7752762,3Ery,
W31369,6.724791,6.603598,2Ery,
W31370,7.8743534,5.2301164,2Ery,
W31371,-7.7596703,8.704549,14Mo,
W31372,8.77646,5.6463284,2Ery,
W31373,-7.8944435,8.518277,13Baso,
W31374,7.890264,5.3823185,2Ery,
W31375,6.8760977,3.816393,3Ery,
W31376,-4.0952134,6.279497,13Baso,
W31377,-0.9456432,5.954358,12Baso,
W31378,6.979105,6.4758935,2Ery,
W31379,-3.4583957,6.073271,10GMP,
W31380,5.0816374,5.9284935,5Ery,
W31381,-6.3558574,6.962519,13Baso,
W31382,6.7633624,4.344008,3Ery,
W31383,-3.1539729,6.0628285,9GMP,
W31386,-7.1394296,10.193412,15Mo,
W31387,7.8500056,5.841158,2Ery,
W31388,-2.6111088,6.18266,10GMP,
W31389,5.9752893,5.1990595,5Ery,
W31390,5.429587,5.4055696,5Ery,
W31391,7.814388,7.0397205,2Ery,
W31392,-4.487215,7.6164355,14Mo,
W31393,-4.714574,7.1082683,13Baso,
W31394,7.651481,6.378571,2Ery,
W31395,-7.2779546,7.6242185,14Mo,
W31396,-6.0194345,10.520669,16Neu,
W31397,-1.4923825,5.314934,12Baso,
W31398,-6.192528,7.805163,14Mo,
W31399,-4.5750947,7.823456,14Mo,
W31401,7.6268115,5.6295495,3Ery,
W31402,-5.198767,7.811311,14Mo,
W31403,-5.94453,6.2227473,13Baso,
W31405,-3.2695227,7.0727835,12Baso,
W31406,4.9724784,5.721441,5Ery,
W31407,-1.2318679,5.4429812,10GMP,
W31409,-4.5576987,7.719601,14Mo,
W31410,5.1754208,5.1388083,4Ery,
W31411,-5.823014,9.355245,15Mo,
W31412,-4.9332056,2.5259058,11DC,11DC
W31413,6.7080193,3.2447116,3Ery,
W31414,6.4409733,4.4141755,4Ery,
W31415,4.500155,5.657457,4Ery,
W31416,6.1840596,4.7605243,4Ery,
W31418,7.0687366,5.5492635,4Ery,
W31419,4.699251,6.2007957,5Ery,
W31420,8.281961,7.349485,1Ery,
W31421,-7.4257913,11.282601,16Neu,
W31422,-6.9306316,8.244937,14Mo,
W31423,7.8535748,6.5189466,2Ery,
W31424,5.342258,4.933967,5Ery,
W31425,-5.858436,10.392793,15Mo,
W31426,5.586513,4.312015,5Ery,
W31427,5.604319,6.7775655,2Ery,
W31428,5.4530535,5.4278383,5Ery,
W31429,7.656668,7.547634,1Ery,
W31430,-0.23478436,4.8183103,7MEP,7MEP
W31431,5.8470984,6.9946647,2Ery,
W31432,-5.8723903,9.189902,14Mo,
W31433,-0.73451906,5.6766324,10GMP,
W31434,6.406768,6.2932734,2Ery,
W31436,-5.6719136,8.462145,14Mo,
W31437,2.0788536,5.2496305,6Ery,
W31439,-0.9116752,7.3744245,9GMP,
W31440,8.7987585,3.2216895,3Ery,3Ery
W31441,6.001687,6.7201495,2Ery,
W31442,6.2287307,6.051025,3Ery,
W31443,-0.6710484,5.303244,12Baso,7MEP
W31444,5.7117167,6.6246166,2Ery,
W31445,-1.4501141,5.430197,18Eos,
W31446,5.889288,5.657797,5Ery,
W31447,5.719186,5.786039,3Ery,
W31448,-6.586682,8.630167,15Mo,
W31451,-3.6090326,7.149794,14Mo,
W31452,8.083237,6.5734243,2Ery,
W31453,2.2130961,5.0416365,6Ery,
W31454,-4.347417,8.810299,14Mo,
W31455,7.703478,7.6186657,2Ery,
W31456,5.170271,5.760442,5Ery,
W31457,-1.4098593,5.19944,12Baso,
W31458,-0.16955502,5.3441577,7MEP,7MEP
W31459,-1.7599375,6.199442,17Neu,
W31460,-5.2371902,8.984008,14Mo,
W31461,5.757348,6.766873,2Ery,
W31462,4.6271486,6.3908267,5Ery,
W31463,6.751166,7.5674233,2Ery,
W31464,-6.116191,7.3348403,14Mo,
W31465,-4.386809,7.9912353,13Baso,
W31466,-7.7271104,8.445296,15Mo,
W31467,7.2437153,6.008056,2Ery,
W31468,-4.8852544,6.874078,13Baso,
W31469,-6.728712,10.907471,16Neu,
W31470,7.469227,5.5826964,5Ery,
W31471,-8.050146,7.000232,14Mo,
W31472,-5.1319375,10.021127,16Neu,
W31473,-6.0806384,7.940958,14Mo,
W31474,-6.0843987,10.8744335,16Neu,
W31475,-6.0152845,7.8154244,14Mo,
W31476,-0.70211715,7.11879,8Mk,
W31477,-3.4974685,6.250562,10GMP,
W31478,-4.0343585,8.19833,14Mo,
