,umap_1,umap_2,paul15_clusters,11DC,19Lymph,7MEP,15Mo,3Ery
W31105,-0.042982515,4.9391413,7MEP,0.003431910865713275,0.048405615326973135,0.8544371592712483,0.0046231824083562785,0.08910213212770997
W31106,-7.29048,7.8913746,15Mo,0.03841797890519232,0.0015549704361023443,0.06793118959896222,0.8429533870003072,0.0491424740594371
W31107,8.920913,3.6123116,3Ery,4.6200094714111586e-05,0.00492012776933397,0.0006440728965021079,0.13150143101320108,0.8628881682262497
W31108,-8.715149,9.499612,15Mo,0.01276718779741397,0.0024425886621187625,0.010780923452815743,0.9098632237592958,0.06414607632835667
W31109,8.98244,4.066399,3Ery,4.5093718965795654e-05,0.004900420924729081,0.0008889045764429733,0.13144526931943118,0.8627203114604319
W31110,-6.5154243,8.743474,15Mo,0.01755415459488551,0.007082326118712009,0.19811578376531983,0.7321181829671493,0.04512955255393431
W31111,5.072736,3.8488007,4Ery,3.38222709031084e-05,0.004258352150449521,0.05000472759059479,0.12526024868951768,0.8204428492985358
W31113,1.378745,4.4413023,2Ery,0.002136101236175215,0.034051828873248605,0.6948834511303328,0.02434238675890518,0.24458623200133925
W31114,4.614032,3.4123058,3Ery,0.00014384337950491499,0.004382782497001949,0.08781699250451279,0.12272128661652366,0.7849350950024577
W31115,7.754226,6.3932805,2Ery,3.212151054129428e-05,0.004691283775838156,0.004995285921420188,0.13066782700292615,0.8596134817892752
W31116,6.664053,5.812242,2Ery,2.6110775212452224e-05,0.004615978230762647,0.008010386534561686,0.13018271047782817,0.8571648139816361
W31117,-2.5683348,7.315169,17Neu,0.008031269874521315,0.033667954597249146,0.7169955628962004,0.21513748800651877,0.02616772462551133
W31118,-7.834097,8.6683445,14Mo,0.03193840565825141,0.0018130391617848355,0.0735604683715241,0.8416951637868476,0.050992923021593056
W31119,-4.3723564,7.1258645,13Baso,0.02611250242785461,0.01983035773111832,0.34355903247648834,0.577590366334045,0.032907741030494674
W31120,7.506144,5.1862526,3Ery,3.585500530311476e-05,0.0047568569456139295,0.003817482817453033,0.13090850762566345,0.8604812976059675
W31121,-0.006649152,4.0180225,7MEP,0.008680966469266147,0.06573163473102564,0.8183280575839751,0.00919538598168571,0.09806395523404828
W31122,7.2904825,3.1258366,3Ery,4.365374866973599e-05,0.004882083102251325,0.002203679682653496,0.13129844235285995,0.8615721411135665
W31123,7.538723,5.0355964,3Ery,3.5396277096055334e-05,0.00475108707659418,0.0042487711856643235,0.13084263779821984,0.8601221076624267
W31124,8.600008,6.163725,2Ery,3.686093991522627e-05,0.004756361174191655,0.003014147560728464,0.13100402386858326,0.8611886064565824
W31125,-0.8384341,7.4859266,8Mk,0.0060815678319654275,0.002846431336458391,0.6989029629438589,0.1838136641809493,0.1083553737067689
W31126,4.713569,3.915215,3Ery,4.1170504723580754e-05,0.004284236888280969,0.08180891573882422,0.12082011469709637,0.7930455621710759
W31127,-5.1437883,5.9059477,9GMP,0.021446309493134662,0.014688658155208856,0.34684235670859703,0.5443031445891693,0.07271953105389112
W31128,-0.42173293,7.096389,8Mk,0.00546383415966281,0.006463452375312873,0.6455962720969031,0.1717263025372037,0.17075013883091858
W31129,-2.0927708,5.6256785,10GMP,0.012955191960630576,0.07104911115401319,0.7606579973979235,0.108814642402633,0.04652305708480082
W31130,-4.5987387,8.477653,15Mo,0.031643983007863696,0.01744240175769357,0.25823711392786236,0.659996080123051,0.0326804211835304
W31131,-7.335084,9.786362,16Neu,0.010873985747094698,0.0040298539790572605,0.060662508461555104,0.8688956545821784,0.05553799723011547
W31132,6.685638,5.7824955,4Ery,2.8588121828463924e-05,0.004652645189162754,0.007684879770666655,0.13024073753637003,0.857393149381973
W31133,-4.2535605,6.3367877,13Baso,0.02006851020516668,0.02058854194080681,0.40363221078224154,0.5193353605952208,0.03637537647656527
W31134,-2.219283,6.098724,17Neu,0.006292450741098659,0.08390380817229265,0.7680803200646357,0.12405470548238254,0.017668715539591453
W31136,8.229297,3.7720444,3Ery,4.43757494308917e-05,0.004891900646488841,0.0013573863175707264,0.13138948119835958,0.862316856088151
W31137,7.8272395,4.999436,2Ery,3.77623632741654e-05,0.00478218493731139,0.003011613042118156,0.13104143065127064,0.8611270090060267
W31138,6.768849,3.078549,3Ery,4.4875590344957644e-05,0.004863362645668058,0.00390013355347254,0.13115035046348206,0.8600412777470333
W31139,3.920943,5.29666,5Ery,0.00023446673523507474,0.00702779057893557,0.24836209033492815,0.09582757705653105,0.648548075294371
W31140,6.454656,3.6715126,3Ery,3.811252049915962e-05,0.0047041783709298925,0.011932568394079765,0.12999971400370786,0.8533254267107844
W31141,-5.7202544,7.0516257,13Baso,0.048192007136309944,0.01047223186644167,0.16423512374244345,0.7380802617047701,0.039020375550035895
W31142,8.118655,7.5247884,1Ery,3.2116410090632726e-05,0.00467872572566932,0.004818401672564127,0.13065783928778207,0.8598129169038947
W31143,9.050803,4.455307,3Ery,4.459058877221429e-05,0.004890322947398716,0.0010327340135428582,0.13140926535516412,0.8626230870951229
W31144,5.968749,3.3591366,6Ery,8.798067082440721e-05,0.004727231128806766,0.02477231193363428,0.12960059321518336,0.8408118830515522
W31145,-6.072276,9.8092,15Mo,0.01165600361466593,0.006041046698849782,0.10770062365758003,0.8260068948534949,0.048595431175410396
W31146,5.378461,4.4766626,3Ery,8.155570876499099e-06,0.004350624363251902,0.03400595452635164,0.12646138876490332,0.8351738767746176
W31147,8.22752,5.704415,3Ery,3.7873433771821584e-05,0.004781897239639374,0.003071397186703198,0.13102081015967096,0.8610880219802156
W31148,-8.334054,8.053911,14Mo,0.04272089281344693,0.0007030642422374759,0.04773127754365368,0.8563589870391515,0.052485778361511436
W31149,-2.7521448,3.7298682,19Lymph,0.00013969658326903214,0.7929351746279505,0.015545888509537207,0.12702190237877303,0.06435733790047128
