,11DC_corr,11DC_pval,11DC_qval,11DC_ci_low,11DC_ci_high,19Lymph_corr,19Lymph_pval,19Lymph_qval,19Lymph_ci_low,19Lymph_ci_high,7MEP_corr,7MEP_pval,7MEP_qval,7MEP_ci_low,7MEP_ci_high,15Mo_corr,15Mo_pval,15Mo_qval,15Mo_ci_low,15Mo_ci_high,3Ery_corr,3Ery_pval,3Ery_qval,3Ery_ci_low,3Ery_ci_high,gene
H2-Eb1,0.7421325836087316,0.0,0.0,0.7247968595274897,0.7585291700401701,-0.034224508809460916,0.07378801093902583,0.10552939318299964,-0.07164723523673018,0.0032944369338477678,-0.07711332428724876,5.462062061277146e-05,8.804099100171617e-05,-0.11429739108209767,-0.0397134948984704,-0.0764259101909665,6.366144502557203e-05,9.610483236362602e-05,-0.11361488132466697,-0.03902307717072037,-0.08804303970857386,4.034382770488999e-06,5.6596158296575344e-06,-0.1251444149567279,-0.05069576730550671,H2-Eb1
H2-Aa,0.702596440126967,0.0,0.0,0.68308631229095,0.7211044958625986,-0.03616344402892985,0.05885114152683744,0.08551380606699621,-0.0735783390824165,0.0013531076207140347,-0.06584122122212897,0.0005747569815486222,0.0008726548843992378,-0.10310127549575505,-0.028396645413193207,-0.07784155770706752,4.637560908257308e-05,7.062763766282424e-05,-0.11502039065160186,-0.04044494926583209,-0.08215923150259591,1.7071773820992516e-05,2.3341795347165283e-05,-0.11930622415783249,-0.04478254343182922,H2-Aa
Cd74,0.6782181027053216,0.0,0.0,0.6574304957064653,0.6979741510166667,0.030435987944921427,0.11186203580233048,0.15522150605301266,-0.007086819708553931,0.06787320643228695,-0.05340832738117942,0.005243585428142325,0.007443691202188055,-0.09074123434546334,-0.015925519783579613,-0.09631931784619623,4.52330582288247e-07,7.919801316472553e-07,-0.13335218010646344,-0.05901785654710714,-0.08510317166321181,8.392377266277975e-06,1.1613974608305935e-05,-0.12222766096891552,-0.04774087425488592,Cd74
Plbd1,0.6759644412590564,0.0,0.0,0.655061168640101,0.6958337770398317,-0.03585928094411757,0.06101323846422165,0.08835782036929456,-0.07327542306798351,0.0016576649717690989,-0.05831955995113668,0.002296448339677342,0.0033509696491444,-0.09562506338832451,-0.020850461519983904,-0.06334914765781118,0.000924423559789303,0.0012786315450232003,-0.1006247263926577,-0.025895974154165995,-0.09030195729248369,2.261723998455277e-06,3.202794221858499e-06,-0.1273851366850302,-0.0529666740254777,Plbd1
Lgals3,0.5752925548466348,1.0158480189316323e-256,7.011383026666126e-254,0.5496401376062237,0.5998611063154355,-0.03232699206614789,0.0912719294505782,0.12887865324629516,-0.06975711091309345,0.005194022863218765,-0.05668275805249919,0.0030446983687761825,0.004403710842685082,-0.09399759397830748,-0.019208888614010683,0.0259663346290676,0.1750086093277382,0.1982779746520107,-0.011559641786206427,0.06341927260917118,-0.1332722658331317,2.5374681217569473e-12,4.292550239305502e-12,-0.1699373508956741,-0.09623871180759123,Lgals3
Irf8,0.5444787747138258,4.941793356100332e-223,2.8423548119837073e-220,0.517535215789066,0.5703436699199362,0.027513075030854293,0.15068551001700195,0.2036880905086854,-0.010011974721600755,0.06496074205397516,-0.100249588901057,1.4984785097797566e-07,2.668343311274479e-07,-0.13724813726408458,-0.06297169912086627,0.42489428318094624,4.583803797453198e-124,1.2860737321147143e-122,0.3936543340025932,0.45515394163080913,-0.419505894439042,1.4624069262152071e-120,2.8352619676228536e-119,-0.4499396206000029,-0.38809894165941533,Irf8
NAAA,0.48714597122838327,4.6286937992766395e-170,2.2819460430433833e-167,0.45800129431269726,0.5152445200237389,-0.01870506849169942,0.32861596650794467,0.4015770893834692,-0.05618036181136776,0.018822855735604993,-0.08760113224043882,4.510684679382455e-06,7.563835193658335e-06,-0.12470602283871834,-0.050251559587403814,0.006938754207520175,0.7170887672596187,0.7382677016148401,-0.030583922893409752,0.044441901681693034,-0.08191514766619355,1.808809885543046e-05,2.4702029738856558e-05,-0.1190639772075726,-0.04453729588202585,NAAA
H2-Ab1,0.4679492224209675,9.970196485576817e-155,4.300893508965699e-152,0.4381257970280857,0.4967436130988286,-0.011937008824224516,0.53302932240289,0.6037033776213894,-0.049429589527829824,0.02558916629063124,-0.0781726048628274,4.3030859588914845e-05,6.97508203106365e-05,-0.11534904553214272,-0.04077747388244026,-0.07911074722277439,3.475051385842521e-05,5.346590429131761e-05,-0.11628036429729503,-0.04171984816529581,-0.018255975526379357,0.3403644030419063,0.35810901063951783,-0.05573252206102781,0.019271939143811503,H2-Ab1
Batf3,0.4674207249075088,2.544159168513936e-154,9.755436989490659e-152,0.43757902531526033,0.49623390210158486,-0.0264562873822417,0.1670061129611129,0.22269632760000024,-0.06390757504809187,0.01106941495413285,-0.05497208371788042,0.0040585236718877074,0.005801973981642286,-0.0922964601664801,-0.01749344384335142,-0.04935540761652131,0.009895231796227677,0.012675740508085268,-0.0867095760865389,-0.011862656025025042,-0.04979663548904883,0.009252871535603136,0.010861108731077014,-0.08714854864793241,-0.012304906425528384,Batf3
Id2,0.4661827050003922,2.2670392104116884e-153,7.823552315130736e-151,0.4362982839872257,0.49503981235589256,0.42251300205291276,1.6532427125087107e-122,4.0752432863339715e-120,0.3911989678470641,0.4528498418392198,-0.08318588686470807,1.3362330161113315e-05,2.2053276607365875e-05,-0.12032510486255345,-0.04581414288663684,-0.06592934687993084,0.0005650110661504788,0.0007926232476769522,-0.10318884371551781,-0.028485083686775454,-0.1337277096822831,2.1340320662092082e-12,3.6207200887354855e-12,-0.17038763226906084,-0.09669810463883349,Id2
Cd52,0.46178607470708843,4.941549474206137e-150,1.55029883958958e-147,0.43175091376941993,0.49079831189863904,0.26291003906911903,6.738125733702976e-45,6.4592421963913805e-43,0.22764054074211929,0.2974906065163454,-0.10732093673317177,1.8439417063884827e-08,3.368683339728244e-08,-0.1442548660723812,-0.07008840473180482,0.44818682873804083,4.806877560129664e-140,1.6756095414148962e-138,0.41769507130321765,0.47767018844914566,-0.4702828810945185,1.5583255121331197e-156,4.408017493747046e-155,-0.498994079665687,-0.4405404120144196,Cd52
Lsp1,0.44713107653212775,2.731488575385627e-139,7.855305894713165e-137,0.41660448222830404,0.476650459887446,0.2616356640976232,1.8449336541793643e-44,1.7207746055602665e-42,0.22634254267923623,0.296242702334423,0.012547345555668936,0.5122969092156986,0.5528257141036197,-0.024979128313284825,0.050038507865270296,0.0305682058435112,0.11031249357539967,0.12804857562351304,-0.006954485205827093,0.0680049366092617,-0.21416547655866142,6.635458480923841e-30,1.6286605417971676e-29,-0.24967422067258682,-0.17808153121781795,Lsp1
Coro1a,0.4462234662998528,1.2097715268368948e-138,3.2114781070108646e-136,0.4156669936292387,0.4757737549958298,0.19869289804362475,7.309654401407923e-26,1.5571368727937496e-24,0.1623886118153315,0.2344599710176859,0.038154788555805605,0.04621362315321337,0.059199411099383564,0.0006409901064259147,0.07556134854732542,0.6747002219377168,0.0,0.0,0.653732245215371,0.6946329531852025,-0.7018747053618996,0.0,0.0,-0.7204203007760891,-0.6823260647050589,Coro1a
Cst3,0.44348724908154086,1.0424083316543461e-136,2.569536537527963e-134,0.4128410935113684,0.47313035424428873,-0.06704398978084113,0.00045430941372392227,0.0008530042365404004,-0.10429638610213053,-0.02960373125707395,-0.12115409492258042,2.0442307867142213e-10,3.9947001387037246e-10,-0.15795091425112232,-0.08402126077556446,0.47802872734927065,1.2147660590916567e-162,5.4443606102926064e-161,0.4485580531778043,0.506461021116307,-0.39802121866388374,2.8584507819284005e-107,4.719862989681775e-106,-0.429128339170404,-0.365971055516156,Cst3
Pld4,0.423712473036987,2.727285273445314e-123,6.274574319106519e-121,0.3924357003527357,0.4540104865964171,-0.026451840588605703,0.1670774862810157,0.2227054481096119,-0.0639031433132883,0.011073864316417121,-0.07575919764876031,7.376846619627004e-05,0.00011774975802189081,-0.11295289189474236,-0.038353485565475146,0.21616651072674836,1.8819447153890756e-30,1.0341705752878504e-29,0.18011240285267158,0.2516405663063255,-0.2286865762810822,5.256782954794762e-34,1.4386326706579477e-33,-0.26393694760108094,-0.19282613735925808,Pld4
Lilrb3,0.4137102376325552,7.17962286608463e-117,1.5485549069286286e-114,0.38212620524695745,0.4443288708363151,-0.018781297888931747,0.32664817592335027,0.39973860110336235,-0.05625637698986219,0.01874662645730044,-0.017283984661722453,0.366700307949536,0.40980659414956244,-0.05476319194220025,0.020243857472740896,-0.03552930313236578,0.063432771436254,0.07538102418268339,-0.0729467903596847,0.0019880626409544437,-0.06859469866427229,0.00033361261550716667,0.00042640634670934526,-0.1058370629653791,-0.031160167513878533,Lilrb3
Klf4,0.4136648246367582,7.668488482853028e-117,1.5567031620191648e-114,0.38207941512634946,0.4442848972291354,-0.026247493481106915,0.17038212668948194,0.22658524824870988,-0.06369948662287585,0.011278327859967335,-0.07109345236252247,0.00020015354564834298,0.0003114201469938826,-0.10831927530753009,-0.03366853210278723,0.13557178593371644,1.052124048465931e-12,2.6541521134911756e-12,0.09855833146132835,0.17221064935453073,-0.167354354795975,1.1208490056190709e-18,2.1609217421181078e-18,-0.20359087609875584,-0.13065995485802975,Klf4
Aif1,0.41286720703125873,2.434353704890067e-116,4.667197019764234e-114,0.38125763659286027,0.44351253647676603,-0.018578802011291057,0.3318922785950732,0.40529379102321217,-0.05605444920734595,0.018949121059160894,-0.04381809084167867,0.022040053063490727,0.029310297927594025,-0.08119932943846567,-0.006313753595654723,0.0072957943360728965,0.7032046272158998,0.725488540664296,-0.030227194777480346,0.044798249011763824,-0.08646313533581704,5.997808999638828e-06,8.356253071357931e-06,-0.12357701194241967,-0.049107707116176416,Aif1
Vim,0.41272746178143743,2.9793741459036625e-116,5.411484303954494e-114,0.3811136634109327,0.44337721162541294,0.11156534815276167,4.90472081509417e-09,1.571605527659237e-08,0.07436186206202834,0.14845871355333254,0.23064933457603054,1.3902266439935126e-34,5.8012964309813935e-34,0.19482034929594216,0.26586360076911403,0.4621723861932996,2.5276167014633615e-150,1.0026212915804667e-148,0.4321504089005139,0.4911710479593561,-0.6149300750685014,1.1631666840661344e-306,1.0035220566780574e-304,-0.6377329754949784,-0.5910502543516201,Vim
Tyrobp,0.3878996305366357,2.2712017510574608e-101,3.918958621449648e-99,0.35555898925726487,0.4193125337774574,0.19568719255448136,4.079533896257387e-25,7.999131520445593e-24,0.1593422317493069,0.23150241467305446,-0.10780112668766717,1.5913808937837388e-08,2.9149975925943114e-08,-0.1447305337311435,-0.07057181223424991,0.5720442243122832,5.679692091805546e-253,5.7648874731826295e-251,0.5462521207143144,0.5967525840986637,-0.5277639865258289,2.2204431832103274e-206,9.122320744355762e-205,-0.5543040824780016,-0.500151732748075,Tyrobp
